Department,Link to Courses
Swahili,https://registrar.ucla.edu/academics/course-descriptions?search=Swahili
Thai,https://registrar.ucla.edu/academics/course-descriptions?search=Thai
Theater,https://registrar.ucla.edu/academics/course-descriptions?search=Theater
Turkic Languages,https://registrar.ucla.edu/academics/course-descriptions?search=Turkic+Languages
Ukrainian,https://registrar.ucla.edu/academics/course-descriptions?search=Ukrainian
University Studies,https://registrar.ucla.edu/academics/course-descriptions?search=University+Studies
Urban Planning,https://registrar.ucla.edu/academics/course-descriptions?search=Urban+Planning
Urology,https://registrar.ucla.edu/academics/course-descriptions?search=Urology
Vietnamese,https://registrar.ucla.edu/academics/course-descriptions?search=Vietnamese
World Arts and Cultures,https://registrar.ucla.edu/academics/course-descriptions?search=World+Arts+and+Cultures
Yiddish,https://registrar.ucla.edu/academics/course-descriptions?search=Yiddish
